,model,no_offload_kqv,flash_attn,n_gpu_layers,promptlen,prompt_tokens,prompt_seconds,prompttps,completion_tokens,gen_seconds,gentps,overhead_seconds
111,IQ4_NL,False,True,32,15360,16059,4.315581884235144,3721.1667929795653,257,8.693825721740723,29.446184935570844,0.29937705025076866
112,IQ4_NL,False,True,33,128,133,0.14179934468120337,966.1539713600696,257,3.568331718444824,71.74220902073861,0.20735920872539282
113,IQ4_NL,False,True,33,1024,1078,0.2919680764898658,3685.3344137346057,257,3.60847544670105,70.94408810070775,0.2168385675176978
114,IQ4_NL,False,True,33,2048,2135,0.46194550301879644,4593.615450594951,257,3.721909761428833,68.78189327774625,0.23617288377135992
115,IQ4_NL,False,True,33,3072,3187,0.6390178129076958,4993.601016347459,257,3.808016777038574,67.22659457374728,0.21907495707273483
116,IQ4_NL,False,True,33,5120,5310,1.0459117824211717,5118.022466109321,257,4.024018049240112,63.618004906400095,0.23761915508657694
117,IQ4_NL,False,True,33,8192,8502,1.718249436467886,4948.059239569494,257,4.263581275939941,60.04341970555321,0.252830620855093
118,IQ4_NL,False,True,33,11264,11741,2.5607503600329515,4586.936775769448,257,4.542328834533691,56.35875545903329,0.27210795356932865
119,IQ4_NL,False,True,33,15360,15966,3.8796793930232525,4115.288502630225,257,5.00452184677124,51.153738126882814,0.30153031274676323
120,IQ4_NL,True,True,28,128,131,0.26501427311450243,528.2734335577142,257,14.532131671905518,17.616135456226026,0.22031984943896532
121,IQ4_NL,True,True,28,1024,1071,0.7017642119899392,1526.153630666128,257,18.080995798110962,14.15851222236034,0.23288546595722437
122,IQ4_NL,True,True,28,2048,2142,1.058146871626377,2030.9089953618407,257,21.87616229057312,11.70223536466977,0.20563403517007828
123,IQ4_NL,True,True,28,3072,3194,2.112729636952281,1511.7883254610401,257,26.110687494277954,9.804414382275507,0.21127947978675365
124,IQ4_NL,True,True,28,5120,5120,3.504842382331082,1460.8360209895293,230,30.050090074539185,7.620609436842485,0.22706780995864534
125,IQ4_NL,True,True,28,8192,8192,6.239751590303628,1312.872777296151,167,30.0999014377594,5.514968224838043,0.2705459723989648
126,IQ4_NL,True,True,28,11264,11264,8.558469926030183,1316.1231034698242,135,30.22299814224243,4.4337096991284035,0.22237650027945025
127,IQ4_NL,True,True,28,15360,15360,11.452406194974792,1341.202865013627,107,30.268840312957764,3.5019511452714145,0.26167180853069955
128,IQ4_NL,True,True,32,128,138,0.2109650494530797,654.1367888081968,257,9.901028394699097,25.85589999287949,0.2146266819909215
129,IQ4_NL,True,True,32,1024,1060,0.5039921626448631,2125.0330449179573,257,12.51199722290039,20.460362597543558,0.20691116899251938
130,IQ4_NL,True,True,32,2048,2136,1.0992229208350182,1943.190921071224,257,15.294916152954102,16.737587668995197,0.21480920165777206
131,IQ4_NL,True,True,32,3072,3203,1.3735098857432604,2331.9817594663546,257,19.00443196296692,13.470542055603433,0.2105038184672594
132,IQ4_NL,True,True,32,5120,5326,2.5995371025055647,2048.826306370674,257,25.154900074005127,10.176943627160275,0.22756478004157543
133,IQ4_NL,True,True,32,8192,8596,4.262842399999499,2016.494909593892,230,30.097975492477417,7.608485163968436,0.24299214594066143
134,IQ4_NL,True,True,32,11264,11264,7.703918234332577,1462.113129628231,183,30.041847467422485,6.058215966823,0.36480714462615627
135,IQ4_NL,True,True,32,15360,15360,11.94803521311875,1285.5670180093684,142,30.083632469177246,4.686934004544305,0.3102702823936516
136,IQ4_NL,True,True,33,128,139,0.25377547834068537,547.7282553415071,257,6.381866216659546,40.11365818539484,0.21385276410728693
137,IQ4_NL,True,True,33,1024,1076,0.5303140562027693,2023.3293601211485,257,9.198096752166748,27.831844662831514,0.23073777370154858
138,IQ4_NL,True,True,33,2048,2116,0.950538675300777,2226.106159573611,257,11.724182367324829,21.83521135882953,0.24861458968371153
139,IQ4_NL,True,True,33,3072,3197,1.3131098235026002,2428.5858980885805,257,14.58660626411438,17.55034689801733,0.23005265835672617
140,IQ4_NL,True,True,33,5120,5338,2.209972308948636,2415.414880261319,257,20.486659288406372,12.495936814103862,0.23382632620632648
141,IQ4_NL,True,True,33,8192,8518,3.963703633286059,2149.0002250592734,257,29.28472399711609,8.741759014877875,0.26041483972221613
142,IQ4_NL,True,True,33,11264,11264,6.17253675508262,1824.857501370882,202,30.04671812057495,6.68958250925788,0.2654899601912617
143,IQ4_NL,True,True,33,15360,15971,10.185884986604963,1507.96911806871,257,49.79147028923035,5.141442871900321,0.29151681491306847
144,Q4_K_S,False,False,28,128,138,0.23189532291144133,595.0960901988564,257,11.870395183563232,21.56625757114469,0.2447234345600009
145,Q4_K_S,False,False,28,1024,1073,0.5263131074607372,2031.1103501820862,257,12.49045443534851,20.495651405245052,0.21422318741679192
146,Q4_K_S,False,False,28,2048,2154,0.944476617500186,2280.6281914116057,257,12.872943639755249,19.88667139110284,0.21415830962359905
147,Q4_K_S,False,False,28,3072,3200,1.3099366798996925,2442.8661698709266,257,13.200887680053711,19.392635268521456,0.23009482771158218
148,Q4_K_S,False,False,28,5120,5343,2.3308081878349185,2293.19599437522,257,14.080277919769287,18.181459304902322,0.2255208743736148
